Sample_ID,Heterozygous,Homozygous,Missing
TA123,11.29,87.49,1.22
TA125,21.87,76.6,1.53
TA129,22.38,75.99,1.63
TA130,21.97,75.89,2.14
TA133,19.13,80.26,0.61
TA134,17.8,80.47,1.73
TA137,24.92,73.86,1.22
TA143,23.8,74.26,1.93
TA145,20.85,77.42,1.73
TA149,20.45,78.13,1.42
TA150,21.36,78.03,0.61
TA153,23.19,75.28,1.53
TA157,24.72,74.16,1.12
TA163,26.55,71.31,2.14
TA169,22.89,75.89,1.22
TA170,19.94,79.15,0.92
TA177,23.09,75.38,1.53
TA178,21.26,77.62,1.12
TA182,4.58,93.79,1.63
TA183,13.53,84.54,1.93
TA194,21.16,77.21,1.63
TA195,21.57,76.81,1.63
TA197,16.28,82.2,1.53
TA198,15.87,83.01,1.12
TA202,13.33,82.5,4.17
TA205,25.84,72.63,1.53
TA209,22.18,76.3,1.53
TA210,20.14,78.23,1.63
TA215,14.65,84.03,1.32
TA216,18.41,79.25,2.34
TA217,22.58,76.5,0.92
TA222,15.77,82.4,1.83
TA223,16.68,81.99,1.32
TA225,22.28,76.5,1.22
TA237,18.62,79.25,2.14
TA238,22.58,75.48,1.93
TA242,26.35,72.13,1.53
TA245,21.06,77.92,1.02
TA249,23.91,74.67,1.42
TA253,11.8,86.78,1.42
TA257,22.18,75.18,2.64
TA258,22.79,75.69,1.53
TA263,21.77,76.4,1.83
TA269,11.7,86.67,1.63
TA270,12.21,85.96,1.83
TA277,14.55,83.72,1.73
TA278,15.46,81.79,2.75
TA285,23.7,74.57,1.73
TA289,21.16,76.91,1.93
TA290,22.18,75.48,2.34
TA293,25.53,73.45,1.02
TA297,22.69,74.97,2.34
TA302,8.75,86.67,4.58
TA303,15.67,81.59,2.75
TA449,13.94,84.33,1.73
TAMex0003.2,20.85,71.01,8.14
TAMex0004.1,18.11,74.87,7.02
TAMex0005.1,24.72,68.06,7.22
TAMex0007.1,16.48,77.82,5.7
TAMex0010.3,19.43,67.24,13.33
TAMex0014.1,18.72,75.48,5.8
TAMex0021.1,25.64,68.06,6.31
TAMex0023.3,22.18,72.02,5.8
TAMex0024.1,26.35,70.6,3.05
TAMex0025.2,18.62,76.81,4.58
TAMex0026.1,23.5,71.92,4.58
TAMex0027.2,11.9,81.69,6.41
TAMex0028.1,24.21,70.4,5.39
TAMex0031.1,9.97,85.05,4.98
TAMex0032.1,20.04,75.48,4.48
TAMex0033.1,20.24,57.78,21.97
TAMex0035.1,20.65,72.02,7.32
TAMex0036.2,21.77,72.94,5.29
TAMex0037.1,20.04,76.81,3.15
TAMex0038.1,22.79,73.86,3.36
TAMex0039.1,22.28,74.67,3.05
TAMex0043.1,22.99,69.68,7.32
TAMex0045.2,23.09,74.57,2.34
TAMex0046.1,21.16,73.65,5.19
TAMex0047.1,23.5,73.55,2.95
TAMex0048.1,19.63,75.58,4.78
TAMex0050.1,11.19,83.01,5.8
TAMex0052.1,24.52,69.07,6.41
TAMex0065.3,18.31,75.48,6.21
TAMex0067.2,23.91,72.84,3.26
